name,type,temperature,humidity,precip,soil
Salt Wattle,Tree,['Moderate'],"['Very Low', 'Low']",['Low'],"['Saline', 'Clay-Loam']"
Cuthbertson's Wattle,Shrub,['Low'],"['Very Low', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Salam Acacia,Tree,['Low'],['Very Low'],['Low'],"['Sandy', 'Calcareous']"
Arad Acacia,Tree,['Moderate'],"['Very Low', 'Low']",['Low'],"['Calcareous', 'Sandy']"
Sweet Acacia,Tree,['Low'],"['Very Low', 'Low']",['Low'],['Sandy']
Grey-haired Acacia,Tree,['Very Low'],['Very Low'],['Low'],"['Sandy', 'Calcareous']"
Sweet Thorn,Tree,['Moderate'],['Very Low'],['Low'],['Sandy']
Umbrella Wattle,Shrub,['Very Low'],"['Very Low', 'Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Gum Arabic Tree,Tree,['Moderate'],['Very Low'],"['Low', 'Moderate']","['Sandy', 'Calcareous']"
Golden Acacia,Tree,['Very Low'],"['Very Low', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Willow Acacia,Tree,['Moderate'],"['Very Low', 'Low']",['Low'],"['Calcareous', 'Clay-Loam']"
Blue-leafed Wattle,Tree,['Moderate'],['Very Low'],['Low'],['Sandy']
Twisted Acacia,Tree,['Low'],"['Very Low', 'Low', 'Moderate']",['Low'],"['Sandy', 'Calcareous']"
Umbrella Thorn,Tree,['Very Low'],"['Very Low', 'Low', 'Moderate']",['Low'],['Calcareous']
Bramble Wattle,Shrub,['Low'],"['Low', 'Moderate']",['Low'],"['Calcareous', 'Saline', 'Clay-Loam']"
Chenille Plant,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Copper Leaf,Shrub,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],['Sandy']
Desert Rose,Succulent Shrub,['Moderate'],"['Very Low', 'Low']",['Low'],['Sandy']
Century Plant,Succulent Plant,['Low'],"['Very Low', 'Low']",['Moderate'],"['Sandy', 'Saline']"
Variegated Caribbean Agave,Succulent Plant,['Moderate'],"['Very Low', 'Low']",['Moderate'],['Sandy']
Dragon-Tree Agave,Succulent Plant,['Moderate'],"['Very Low', 'Low', 'Moderate']",['Moderate'],['Sandy']
Smooth-Edged Agave,Succulent Plant,['Moderate'],"['Very Low', 'Low']",['Low'],['Sandy']
Woman's Tongue,Tree,['Moderate'],"['Low', 'Moderate']",['High'],"['Sandy', 'Clay-Loam']"
Hollyhock,Herbaceous perennial,['Very Low'],"['Low', 'Moderate']",['Moderate'],"['Sandy', 'Clay-Loam']"
Golden Trumpet Vine,Elegant Plant,['Moderate'],"['Moderate', 'High', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Elephant's Ear,Herbaceous perennial,['High'],"['High', 'Extreme']",['High'],"['Sandy', 'Clay-Loam']"
Giant Aloe,Succulent Shrub,['Moderate'],"['Very Low', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Medicinal Aloe,Succulent Shrub,['Moderate'],"['Very Low', 'Low']",['Low'],"['Sandy', 'Calcareous']"
Parrot Leaf,Herbaceous perennial,['Moderate'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam']"
Joseph's Coat,Herbaceous perennial,['Moderate'],"['Low', 'High']",['Low'],"['Sandy', 'Clay-Loam']"
Queen's Wreath,Elegant Plant,['Moderate'],"['Low', 'Moderate', 'Extreme']",['Moderate'],"['Sandy', 'Clay-Loam']"
Snapdragon,Herbaceous perennial,['Moderate'],"['Low', 'Moderate']",['High'],"['Sandy', 'Clay-Loam']"
Baby Sun-Rose,Herbaceous perennial,['Moderate'],"['Very Low', 'Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Calcareous']"
Hawaiian Baby Woodrose,Shrub,['High'],"['Low', 'Moderate']",['Moderate'],['Sandy']
Elephant Vine,Elegant Plant,['Moderate'],"['Low', 'Moderate']",['Moderate'],"['Sandy', 'Clay-Loam']"
Giant Cane,Herbaceous perennial,['Very Low'],"['Low', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
Milkweed,Shrub,['Low'],"['Low', 'Moderate', 'High']",['Moderate'],"['Sandy', 'Clay-Loam', 'Saline']"
